Review_id,Phrase,AspectCategory,Polarity,TripadvisorReviewStarsRating
0,We went for my husbands birthday having high expectations however we were very disappointed.,General,-1,1
0,"Firstly we were hoping to sit in the conservatory but was told it was fully booked , however the whole time we were there there were two empty tables there.",Staff,-1,1
0,As soon as we got there the waiter asked us our food order without giving us time to look at the menu or even ask for our drinks order first.,Staff,-1,1
0,The gin and tonic was very small for the price we paid and presented very averagely. ,Drinks/Price,-1,1
0,Our starter was very tasty on a positive note.,Food,1,1
0,"However the vegetarian meal I ordered was not very nice at all , and the potatoes were definitely still raw.",Food,-1,1
0,I had to struggle to finish it but couldn't as it tasted quite bad.,Food,-1,1
0,I had to even get a pizza after as I was still hungry on leaving the restaurant!,Food,-1,1
0,However my husband did enjoy his meat dish so maybe this just isn't the place to go to as a vegetarian!,Food,0,1
0,However I feel when you are paying this much for a restaurant the food should meet that standard.,Price/Food,-1,1
0,"I reminded one of the waiters that it was my husbands birthday and he promised he would bring something out for him , however they brought us our bill and seemed to have forgotten about this.",Staff,-1,1
0,I had to then remind them again but by this point we were just keen to leave so I told them not to worry about whatever little surprise they were going to bring out for him.,Staff,-1,1
0,I Definitely will not be returning !,General,-1,1
1,"Book 2 months in advance as wanted to be seated in a flower room, separate email was sent requesting to be seated there.",None,0,1
1,Travelled few hours for a day in London and celebratory Birthday Lunch only to be extremly dissapointed on arrival as they could not accomodate us as the flower room was fully booked.,Staff,-1,1
1,Never i would go there again or recommend it to anyone else.,General,-1,1
1,"Customers should be told in advance, whether they will be seated as per their booking request or not, to avoid disappointment on a day and ruining the whole trip.",General/Staff,-1,1
1,This happened twice (once booked 3 weeks in advance and once 2 momths in advance).,None,0,1
2,We had a genuinely terrible experience which has left us wondering how on earth this tourist-trap restaurant has such good reviews.,General,-1,1
2,"Far from romantic (plastic flowers hanging from ceiling), uncomfortably close to other dinners seating, average to bad food.",Ambience/Food,-1,1
2,Treated with contempt by staff and management.,Staff,-1,1
2,So far away from expectations that feel the advertising was utterly misleading.,General,-1,1
3,It was the worst experience i have had in years!,General,-1,1
3,"The service was poor, I had to always ask for my glass to be topped up from the champagne we bought, also table was wobbly so had to ask 3 times to fix it and then also show how to fix it.",Staff,-1,1
3,Told waitress i don't like raw onions and the starter that she suggested tuna tartar tasted like onions and the fish wasn't cut correctly as it still had lots of the white bits and it also looked quite grey and old.,Staff/Food,-1,1
3,"For main course i had Mackerel as per waitress suggestion and it was offensively salty like it couldn't be more salty, it was inedible, i had truffle mash as side dish and it was bland and probably heated too many times as the texture and look was un appetising.",Food,-1,1
3,My husband and I canceled the deserts as couldn't take it anymore and left hungry!,General,-1,1
3,the place also had a weird old milk smell and in day time you can see how old the decorations are and how dirty they are.,Ambience,-1,1
3,Avoid at all costs!,General,-1,1
4,Yes the reviews are great and yes if you get downstairs in the conservatory it's lovely.,Ambience,1,1
4,"However, they'll take your booking on that basis even though the table was never available for you, just so you don't cancel (most people just begrudgingly accept it when they're told they can't sit down there).",Staff,-1,1
